bank_transaction_id,bank_transaction_description,bank_transaction_amount,bank_transaction_type
21788825,ADMIRAL INSURANCE,-27.18,CSH
21788826,Fin:  M6 TOLL,-25.3,DEB
21788827,"SUNDRY DEBIT diamond valeting, tyres & service  ON 2019-7-23",-15.85,DEB
21788828,rent-a-car,-8.15,DEB
21788829,ON 4 Jul sainsburys petrol,-20.93,DEB
21788830,CARD PAYMENT  enterprise car rental,-21.95,DEB
21788831,SUNDRY DEBIT  fuel service station ON 25 Aug,-32.84,DEB
21788832,SUNDRY DEBIT  ON 2019-7-9 SHELL GARAGE,-33.03,DEB
21788833,Sundry debit: INSURANCE ON 13 Aug,-20.49,CSH
21788834,admiral insurance,-24.51,DEB
21788835,SUNDRY DEBIT parking 1Jul19,-18.88,DEB
21788836,SUNDRY DEBIT CONTACTLESS ON 21 Jul PARKING,-13.27,DEB
21788837,uk fuels ltd,-30.92,DD
21788838,ON 1 Jul CARD PAYMENT halfords,-18.32,DEB
21788839,asda stores petrol CONTACTLESS,-13.41,DEB
21788840,CONTACTLESS halfords,-16.67,DEB
21788841,Fin:  14Jul19 ringgo mobile parking,-57.39,DEB
21788842,Sundry debit:  VIA MOBILE ONLINE dvla,-31.66,MPO
21788843,Fin:  tebay services north CONTACTLESS,-15.1,DEB
21788844,Fin:  DVLA VEHICLE TAX,-23.36,DEB
21788845,uk fuels ltd ON 19 Aug,-11.01,DEB
21788846,wandsworth parking  Cash at Transact,-33.53,CSH
21788847,Fin: CONTACTLESS GEORGE STREET CARPARK ON 2019-7-19,-3.25,DEB
21788848,SUNDRY DEBIT CONTACTLESS DVLA ON 2019-8-30,-14.2,DEB
21788849,Sundry debit: INSURANCE ON 17 Aug,-16.31,DEB
21788850,Sundry debit: Direct Debit ON 18 Jul admiral insurance,-21.59,DD
21788851,Sundry debit:  tesco pay at pump,-51.3,MPO
21788852,ASDA PETROL,-12.35,DEB
21788853,FORD,-33.24,DEB
21788854,SHELL GARAGE ON 2019-7-11,-59.84,DEB
21788855,Sundry debit: CONTACTLESS  smart parking chelsea london,-35.53,DEB
21788856,uk fuels ltd,-10.45,DEB
21788857,ASDA PETROL,-17.57,DD
21788858,Fin: TESCO PAY AT PUMP,-63.83,DD
21788859,Fin:  shell garage CARD PAYMENT,-25.83,DEB
21788860,SUNDRY DEBIT   SHELL GARAGE,-30.95,CSH
21788861,2Jul19 FUEL SERVICE STATION,-12.43,MPO
21788862,CONTACTLESS smart parking chelsea london 16Aug19,-28.92,DEB
21788863,Fin:  ON 31 Aug uk fuels ltd,-36.41,DEB
21788864,FORD  ON 13 Aug,-19.34,DEB
21788865,13Jul19  TESCO PAY AT PUMP,-12.69,CSH
21788866,SUNDRY DEBIT ON 2019-7-24 ADMIRAL INSURANCE,-9.63,DEB
21788867,TESCO PAY AT PUMP ON 15 Jul,-27.56,DEB
21788868,smart parking chelsea london,-7.97,DEB
21788869,SUNDRY DEBIT ON 2019-8-18 uk fuels ltd,-32.07,DEB
21788870,morrison petrol  28Jul19,-16.52,MPO
21788871,SUNDRY DEBIT   INSURANCE,-22.41,DEB
21788872,dvla vehicle tax  CARD PAYMENT,-13.52,DEB
21788873,tesco pay at pump 19Aug19,-7.18,DEB
21788874,CONTACTLESS ON 2019-8-14 tesco pay at pump,-20.26,DEB
21788875,shell oldbury,-23.16,DEB
21788876,SUNDRY DEBIT tesco pay at pump ON 2019-7-4 CONTACTLESS,-19.66,DEB
21788877,amznmktplace,-36.41,CSH
21788878,DIRECTLINE INS,-11.55,DEB
21788879,ON 30 Aug  PARKING,-24.02,DEB
21788880,SUNDRY DEBIT directline ins ON 2019-8-8 VIA MOBILE,-11.16,MPO
21788881,Sundry debit:  CAR RENTAL INSURANCE ON 31 Jul,-22.31,DEB
21788882,ADMIRAL INSURANCE,-1.84,DD
21788883,car rental insurance CARD PAYMENT ON 20 Aug,-37.48,DEB
21788884,Sundry debit:  CONTACTLESS asda petrol,-27.57,DEB
21788885,Sundry debit:   SMART PARKING CHELSEA LONDON,-18.16,DEB
21788886,tebay services north ON 2019-7-8,-39.21,DEB
21788887,Sundry debit: freeborn garages ON 2019-8-26 VIA MOBILE,-19.01,MPO
21788888,tesco pay at pump,-36.18,CSH
21788889,SUNDRY DEBIT  AMZNMKTPLACE,-14.98,DEB
21788890,ON 2019-7-11 sainsburys petrol,-19.47,DD
21788891,mercedes-benz cars,-9.5,DEB
21788892,VIA MOBILE uk fuels ltd ON 2019-7-21,-20.62,MPO
21788893,Fin:  fuel service station,-40.62,DEB
21788894,Fin: 21Jul19  bp moto manchester,-7.83,DEB
21788895,Fin: asda stores petrol  ON 28 Aug,-21.86,CSH
21788896,morrison petrol ON 1 Jul,-7.41,DEB
21788897,22Aug19 directline ins,-20.88,DEB
21788898,SUNDRY DEBIT UK FUELS LTD,-17.02,DEB
21788899,ON 26 Jul ENTERPRISE CAR RENTAL CONTACTLESS,-25.95,DEB
21788900,DIRECTLINE INS CONTACTLESS,-3.13,DEB
21788901,HALFORDS CONTACTLESS,-35.07,DEB
21788902,smart parking chelsea london 17Jul19,-16.37,MPO
21788903,tesco pay at pump,-3.39,DD
21788904,Sundry debit: paypal payment  Cash at Transact,-41.85,CSH
21788905,Sundry debit:  SHELL GARAGE,-13.76,DEB
21788906,Sundry debit: Direct Debit ON 2019-7-6 RENT-A-CAR,-10.73,DD
21788907,Fin:  FUEL SERVICE STATION CARD PAYMENT,-16.69,DEB
21788908,tebay services north VIA MOBILE,-13.72,MPO
21788909,"DIAMOND VALETING, TYRES & SERVICE",-32.87,CSH
21788910,SUNDRY DEBIT   INSURANCE,-13.44,DEB
21788911,Sundry debit: enterprise car rental,-13.61,MPO
21788912,paypal payment  CONTACTLESS,-21.42,DEB
21788913,SUNDRY DEBIT diesel payment  ON 2019-7-8,-31.19,DD
21788914,CONTACTLESS FUEL SERVICE STATION,-20.0,DEB
21788915,SUNDRY DEBIT paypal payment,-14.62,DEB
21788916,camden parking Apple Pay,-9.69,MPO
21788917,CONTACTLESS RINGGO MOBILE PARKING,-24.51,DEB
21788918,Fin: SHELL GARAGE CARD PAYMENT 3Aug19,-25.79,DEB
21788919,Cash at Transact diesel payment,-14.78,CSH
21788920,Fin:  ON 27 Jul tyre services,-40.48,DEB
21788921,Fin: ON 2019-7-19 CAR RENTAL INSURANCE CONTACTLESS,-29.21,DEB
21788922,ON 7 Aug smart parking chelsea london,-28.5,DEB
21788923,Fin: HALFORDS,-15.01,DEB
21788924,parking,-30.81,CSH
21788925,11Aug19 CONTACTLESS BP MOTO MANCHESTER,-23.6,DEB
21788926,Fin: dvla vehicle tax,-13.18,DEB
21788927,SUNDRY DEBIT TYRE SERVICES,-6.61,CSH
21788928,RINGGO PARKING    BASINGSTOKE,-16.8,MPO
21788929,ASDA PETROL,-25.35,DEB
21788930,george street carpark 30Jul19,-8.78,DEB
21788931,ON 2019-8-22 shell garage,-35.55,DEB
21788932,DIRECTLINE INS,-22.44,CSH
21788933,SAINSBURYS PETROL CONTACTLESS,-34.15,DEB
21788934,ON 1 Jul  rent-a-car,-11.91,DEB
21788935,SUNDRY DEBIT FUEL SERVICESUK,-11.97,DEB
21788936,SHELL GARAGE CARD PAYMENT 14Jul19,-19.13,DEB
21788937,Sundry debit: SMART PARKING CHELSEA LONDON,-30.77,DEB
21788938,diesel payment ON 2019-7-25 VIA MOBILE,-27.78,MPO
21788939,ON 2019-8-20 FUEL SERVICE STATION Cash at Transact,-19.24,CSH
21788940,"diamond valeting, tyres & service",-30.09,DEB
21788941,RENT-A-CAR,-32.92,DEB
21788942,CONTACTLESS  freeborn garages,-26.52,DEB
21788943,GEORGE STREET CARPARK,-26.72,DD
21788944,tebay services north ON 18 Jul,-19.16,DEB
21788945,SUNDRY DEBIT  Cash at Transact PARKING,-5.06,CSH
21788946,shell garage,-17.37,CSH
21788947,Sundry debit:   FUEL SERVICE STATION,-26.87,DEB
21788948,ADMIRAL INSURANCE Direct Debit,-33.49,DD
21788949,ford,-30.57,DEB
21788950,dvla,-13.72,DEB
21788951,Sundry debit:  ON 29 Jul PARKING,-36.3,CSH
21788952,tesco pay at pump,-38.54,DEB
21788953,M6 TOLL  12Aug19,-19.01,DEB
21788954,FUEL SERVICESUK,-34.25,CSH
21788955,SUNDRY DEBIT Cash at Transact UK FUELS LTD ON 7 Aug,-31.21,CSH
21788956,SUNDRY DEBIT   m6 toll,-31.26,DEB
21788957,CARD PAYMENT ON 20 Jul amznmktplace,-7.43,DEB
21788958,FUEL SERVICESUK,-27.89,DEB
21788959,MERCEDES-BENZ CARS  ON 19 Jul,-27.19,DEB
21788960,Sundry debit: ON 14 Aug CONTACTLESS MORRISON PETROL,-17.28,DEB
21788961,CARD PAYMENT TESCO PAY AT PUMP,-29.83,DEB
21788962,ON 2019-8-24  CAR RENTAL INSURANCE,-21.47,DEB
21788963,16Aug19 Cash at Transact admiral insurance,-14.56,CSH
21788964,SUNDRY DEBIT Cash at Transact  car rental insurance,-15.7,CSH
21788965,ON 17 Aug M6 TOLL,-41.46,MPO
21788966,TYRE SERVICES ON 2019-8-11 CARD PAYMENT,-19.53,DEB
21788967,DVLA VEHICLE TAX CARD PAYMENT,-28.11,DEB
21788968,Sundry debit: ringgo mobile parking VIA MOBILE ONLINE ON 8 Jul,-14.99,MPO
21788969,diesel payment CONTACTLESS 13Aug19,-45.29,DEB
21788970,20Jul19 Direct Debit shell garage,-8.8,DD
21788971,ON 9 Aug TESCO PAY AT PUMP,-12.86,DEB
21788972,Fin: ON 2019-8-31  UK FUELS LTD,-26.19,DEB
21788973,admiral insurance,-39.33,DEB
21788974,SUNDRY DEBIT  TEBAY SERVICES NORTH,-25.15,MPO
21788975,Fin: CARD PAYMENT AXA INSURANCE,-17.12,DEB
21788976,"Fin:  DIAMOND VALETING, TYRES & SERVICE",-12.39,CSH
21788977,CARD PAYMENT  ADMIRAL INSURANCE,-15.34,DEB
21788978,"Sundry debit:  ON 2019-8-13 diamond valeting, tyres & service",-42.67,DD
21788979,ringgo mobile parking,-28.14,DEB
21788980,RENT-A-CAR,-45.01,CSH
21788981,ON 2019-7-6 admiral insurance,-22.34,DEB
21788982,DIESEL PAYMENT,-10.99,DEB
21788983,paypal payment ON 2019-8-4,-13.09,DD
21788984,ringgo mobile parking  VIA MOBILE ONLINE,-32.05,MPO
21788985,Apple Pay van diesel,-36.17,MPO
21788986,ringgo parking    basingstoke,-8.5,DD
21788987,ON 2019-7-9 fuel servicesuk,-3.34,MPO
21788988,Apple Pay  m6 toll,-2.12,MPO
21788989,amznmktplace,-18.58,DEB
21788990,3Jul19 FUEL SERVICE STATION Apple Pay,-4.97,MPO
21788991,SUNDRY DEBIT enterprise car rental,-12.74,MPO
21788992,Sundry debit: asda petrol  ON 2019-7-5,-26.56,CSH
21788993,ON 2019-7-23 ENTERPRISE CAR RENTAL,-32.71,DEB
21788994,Fin:  shell garage,-42.3,CSH
21788995,uk fuels ltd,-14.94,DEB
21788996,15Jul19 Cash at Transact INSURANCE,-35.88,CSH
21788997,Sundry debit: mercedes-benz cars,-24.78,DEB
21788998,Fin: tebay services north,-20.56,DEB
21788999,ENTERPRISE CAR RENTAL,-6.74,CSH
21789000,smart parking chelsea london,-9.52,MPO
21789001,dvla vehicle tax,-16.04,MPO
21789002,Direct Debit enterprise car rental ON 14 Jul,-3.64,DD
21789003,ON 2019-8-5 FUEL SERVICESUK,-25.9,DEB
21789004,shell garage,-23.42,MPO
21789005,parking,-8.48,DEB
21789006,Fin: insurance ON 2019-8-25,-32.41,CSH
21789007,"CONTACTLESS  DIAMOND VALETING, TYRES & SERVICE",-27.44,DEB
21789008,SUNDRY DEBIT FUEL SERVICESUK  CONTACTLESS,-6.79,DEB
21789009,admiral insurance,-11.38,DEB
21789010,Fin: VAN DIESEL 18Aug19,-25.67,DEB
21789011,car rental insurance,-34.13,DD
21789012,Direct Debit  SAINSBURYS PETROL,-15.67,DD
21789013,smart parking chelsea london,-18.12,CSH
21789014,asda petrol ON 28 Aug,-11.12,DEB
21789015,CONTACTLESS AXA INSURANCE,-28.6,DEB
21789016,Sundry debit:  CARD PAYMENT tyre services,-22.61,DEB
21789017,ON 2019-7-22  ENTERPRISE CAR RENTAL,-26.97,MPO
21789018,Fin:   enterprise car rental,-45.63,DEB
21789019,Fin: asda petrol Direct Debit ON 5 Jul,-35.77,DD
21789020,tebay services north,-13.52,MPO
21789021,VIA MOBILE halfords,-21.39,MPO
21789022,18Jul19 Direct Debit rent-a-car,-16.03,DD
21789023,Direct Debit SMART PARKING CHELSEA LONDON,-8.14,DD
21789024,ON 2019-7-13 camden parking,-8.32,DEB
21789025,dvla ON 2019-7-24,-10.54,DD
21789026,SUNDRY DEBIT CARD PAYMENT  enterprise car rental,-30.79,DEB
21789027,Fin: admiral insurance ON 2019-7-4,-16.29,MPO
21789028,ON 21 Aug ASDA PETROL,-35.59,DEB
21789029,TESCO PAY AT PUMP  CARD PAYMENT,-11.0,DEB
21789030,24Jul19 FUEL SERVICE STATION,-7.35,MPO
21789031,ON 2019-8-7 parking,-33.9,CSH
21789032,Fin:  ON 4 Jul ford,-17.09,CSH
21789033,ENTERPRISE CAR RENTAL  CONTACTLESS,-27.57,DEB
21789034,dvla,-15.65,MPO
21789035,SUNDRY DEBIT  ASDA PETROL,-15.54,CSH
21789036,SUNDRY DEBIT ON 22 Jul VIA MOBILE ONLINE tyre services,-19.16,MPO
21789037,Fin: 6Aug19  FORD,-5.45,DEB
21789038,SUNDRY DEBIT  UK FUELS LTD,-29.27,MPO
21789039,Apple Pay 30Aug19 TESCO PAY AT PUMP,-35.09,MPO
21789040,rent-a-car,-15.26,DD
21789041,SUNDRY DEBIT ADMIRAL INSURANCE,-25.99,CSH
21789042,ENTERPRISE CAR RENTAL,-31.56,DD
21789043,van diesel,-17.29,CSH
21789044,Sundry debit: halfords  VIA MOBILE,-15.59,MPO
21789045,14Jul19 dvla,-15.52,CSH
21789046,SUNDRY DEBIT 31Jul19 ASDA PETROL CONTACTLESS,-18.05,DEB
21789047,ON 2019-7-3 tebay services north,-25.08,MPO
21789048,CONTACTLESS MORRISON PETROL,-24.11,DEB
21789049,bp moto manchester,-27.76,DEB
21789050,CARD PAYMENT ON 2019-7-1 fuel servicesuk,-56.97,DEB
21789051,Fin: CONTACTLESS ON 17 Jul enterprise car rental,-8.2,DEB
21789052,ON 2019-7-5 TYRE SERVICES,-6.63,CSH
21789053,CARD PAYMENT 5Jul19 admiral insurance,-30.53,DEB
21789054,SUNDRY DEBIT CARD PAYMENT CAMDEN PARKING,-57.72,DEB
21789055,Sundry debit: admiral insurance ON 7 Aug Direct Debit,-6.83,DD
21789056,m6 toll,-10.97,MPO
21789057,halfords,-12.24,CSH
21789058,CONTACTLESS tesco pay at pump,-22.83,DEB
21789059,ford  Apple Pay,-36.55,MPO
21789060,VIA MOBILE ONLINE halfords,-39.13,MPO
21789061,CONTACTLESS enterprise car rental,-16.67,DEB
21789062,ON 2019-7-20 Direct Debit TESCO PAY AT PUMP,-21.33,DD
21789063,ENTERPRISE CAR RENTAL CONTACTLESS,-22.89,DEB
21789064,SUNDRY DEBIT 7Jul19 RINGGO PARKING    BASINGSTOKE Apple Pay,-7.04,MPO
21789065,FORD 31Aug19 CARD PAYMENT,-21.57,DEB
21789066,ON 2019-8-16  UK FUELS LTD,-21.58,DEB
21789067,Fin: ON 2019-8-18  INSURANCE,-31.18,DEB
21789068,fuel servicesuk  CARD PAYMENT,-38.15,DEB
21789069,CARD PAYMENT ON 12 Aug morrison petrol,-29.9,DEB
21789070,SUNDRY DEBIT smart parking chelsea london CARD PAYMENT ON 10 Aug,-28.06,DEB
21789071,Fin: ON 2019-8-12 VIA MOBILE FUEL SERVICESUK,-15.54,MPO
21789072,tesco pay at pump  22Jul19,-27.2,CSH
21789073,Sundry debit: 11Aug19  dvla vehicle tax,-42.08,MPO
21789074,Sundry debit: axa insurance,-26.86,MPO
21789075,halfords CARD PAYMENT,-21.83,DEB
21789076,Fin: admiral insurance,-7.27,DD
21789077,ON 7 Jul dvla,-31.86,DEB
21789078,SUNDRY DEBIT  camden parking CARD PAYMENT,-19.39,DEB
21789079,Sundry debit: fuel service station CARD PAYMENT ON 19 Aug,-9.28,DEB
21789080,Sundry debit: ASDA PETROL  ON 2019-8-6,-21.66,DEB
21789081,Sundry debit: ON 6 Jul  RINGGO PARKING    BASINGSTOKE,-42.94,DEB
21789082,fuel servicesuk CARD PAYMENT 1Jul19,-16.27,DEB
21789083,Sundry debit: CONTACTLESS enterprise car rental ON 2019-8-2,-29.49,DEB
21789084,Fin: CARD PAYMENT  fuel service station,-25.19,DEB
21789085,SUNDRY DEBIT VIA MOBILE ONLINE ON 3 Aug asda petrol,-43.25,MPO
21789086,Sundry debit: ON 15 Aug enterprise car rental CONTACTLESS,-10.05,DEB
21789087,ON 26 Aug CONTACTLESS george street carpark,-32.38,DEB
21789088,10Jul19 RINGGO MOBILE PARKING,-19.98,MPO
21789089,SUNDRY DEBIT RINGGO PARKING    BASINGSTOKE,-24.04,DEB
21789090,SUNDRY DEBIT  MORRISON PETROL ON 13 Aug,-42.24,CSH
21789091,DVLA VEHICLE TAX Cash at Transact,-31.65,CSH
21789092,Apple Pay camden parking,-43.76,MPO
21789093,CARD PAYMENT asda petrol ON 4 Jul,-13.51,DEB
21789094,CONTACTLESS  fuel service station,-17.43,DEB
21789095,bp moto manchester,-27.25,MPO
21789096,Sundry debit:  ADMIRAL INSURANCE,-6.78,CSH
21789097,TEBAY SERVICES NORTH VIA MOBILE ONLINE,-15.7,MPO
21789098,CARD PAYMENT ringgo mobile parking,-25.04,DEB
21789099,sainsburys petrol,-3.78,DD
21789100,halfords  ON 2019-8-23,-3.07,DEB
21789101,SUNDRY DEBIT  TEBAY SERVICES NORTH ON 15 Aug,-8.44,CSH
21789102,Fin: ON 17 Aug PARKING,-15.36,DEB
21789103,tesco pay at pump ON 2019-7-10,-19.41,CSH
21789104,insurance 15Aug19 Direct Debit,-12.86,DD
21789105,ON 21 Jul TESCO PAY AT PUMP,-19.19,CSH
21789106,Sundry debit:  halfords CONTACTLESS,-35.96,DEB
21789107,Sundry debit:   ringgo mobile parking,-28.18,MPO
21789108,TESCO PAY AT PUMP VIA MOBILE ONLINE 5Aug19,-32.95,MPO
21789109,VAN DIESEL,-36.57,DEB
21789110,"DIAMOND VALETING, TYRES & SERVICE",-45.46,DEB
21789111,amznmktplace ON 29 Jul,-26.94,DEB
21789112,tesco pay at pump ON 2019-7-30,-13.12,CSH
21789113,Sundry debit:  VIA MOBILE wandsworth parking,-25.63,MPO
21789114,Sundry debit: Direct Debit ringgo mobile parking,-30.41,DD
21789115,Sundry debit: DVLA VEHICLE TAX Cash at Transact ON 2019-7-3,-13.84,CSH
21789116,ASDA PETROL,-18.77,DEB
21789117,RENT-A-CAR,-23.07,MPO
21789118,Fin: 31Aug19 SHELL GARAGE,-23.58,DEB
21789119,tebay services north,-24.02,CSH
21789120,Sundry debit: RINGGO MOBILE PARKING  ON 2019-7-30,-23.02,DEB
21789121,FUEL SERVICESUK Direct Debit ON 2019-8-29,-16.16,DD
21789122,CARD PAYMENT admiral insurance,-5.59,DEB
21789123,SUNDRY DEBIT  directline ins ON 25 Jul,-7.8,CSH
21789124,enterprise car rental,-32.96,MPO
21789125,Fin:   CAR RENTAL INSURANCE,-46.05,DD
21789126,CONTACTLESS axa insurance,-36.94,DEB
21789127,SUNDRY DEBIT INSURANCE,-18.33,DEB
21789128,Fin: VIA MOBILE ONLINE  TESCO PAY AT PUMP,-12.0,MPO
21789129,SUNDRY DEBIT  fuel servicesuk,-20.62,DEB
21789130,Fin: ENTERPRISE CAR RENTAL,-19.91,CSH
21789131,SUNDRY DEBIT sainsburys petrol  CONTACTLESS,-18.25,DEB
21789132,ON 2019-7-17 CARD PAYMENT ENTERPRISE CAR RENTAL,-17.74,DEB
21789133,Fin: 14Aug19  tebay services north,-33.73,CSH
21789134,SUNDRY DEBIT ON 2019-8-15  insurance,-16.92,DEB
21789135,DIRECTLINE INS CARD PAYMENT ON 11 Aug,-30.53,DEB
21789136,SUNDRY DEBIT tebay services north Cash at Transact,-8.78,CSH
21789137,ON 19 Jul  DVLA VEHICLE TAX,-15.82,DEB
21789138,VIA MOBILE SHELL GARAGE,-47.37,MPO
21789139,CAMDEN PARKING  CARD PAYMENT,-9.35,DEB
21789140,Fin: BP MOTO MANCHESTER  CONTACTLESS,-21.67,DEB
21789141,ON 9 Jul uk fuels ltd,-10.04,CSH
21789142,Fin: ON 2019-7-20  DIESEL PAYMENT,-40.3,DEB
21789143,tyre services Apple Pay ON 2019-8-5,-28.98,MPO
21789144,ENTERPRISE CAR RENTAL ON 22 Aug,-42.71,CSH
21789145,Sundry debit:  morrison petrol,-21.7,MPO
21789146,INSURANCE  Direct Debit,-27.29,DD
21789147,CONTACTLESS ON 6 Jul dvla,-9.96,DEB
21789148,sainsburys petrol ON 18 Jul,-29.35,DEB
21789149,VIA MOBILE HALFORDS ON 11 Jul,-23.47,MPO
21789150,ON 2019-8-6 SMART PARKING CHELSEA LONDON,-14.57,CSH
21789151,ON 30 Aug VIA MOBILE ONLINE TYRE SERVICES,-5.53,MPO
21789152,Fin: DIRECTLINE INS VIA MOBILE,-19.55,MPO
21789153,CARD PAYMENT  fuel service station,-29.23,DEB
21789154,Fin: parking CARD PAYMENT,-25.01,DEB
21789155,george street carpark CARD PAYMENT,-20.97,DEB
21789156,24Aug19 MERCEDES-BENZ CARS,-6.92,CSH
21789157,GEORGE STREET CARPARK,-21.84,DEB
21789158,ON 2019-8-4 tesco pay at pump,-23.07,DEB
21789159,ON 7 Aug RENT-A-CAR,-25.88,MPO
21789160,shell garage  VIA MOBILE ONLINE,-4.35,MPO
21789161,Sundry debit: DIRECTLINE INS  31Aug19,-38.66,DEB
21789162,Sundry debit: CARD PAYMENT  SHELL GARAGE,-13.77,DEB
21789163,SUNDRY DEBIT tyre services  ON 2 Jul,-12.95,DEB
21789164,28Aug19  freeborn garages,-17.12,DD
21789165,CARD PAYMENT tesco pay at pump,-10.68,DEB
21789166,Fin: ON 2019-7-26 fuel service station,-39.04,DEB
21789167,23Aug19  WANDSWORTH PARKING,-19.52,CSH
21789168,SUNDRY DEBIT  CARD PAYMENT sainsburys petrol,-41.45,DEB
21789169,ON 2019-8-19 fuel service station,-30.9,DEB
21789170,Fin: ON 4 Aug CAMDEN PARKING,-20.16,MPO
21789171,TESCO PAY AT PUMP Cash at Transact ON 20 Aug,-24.03,CSH
21789172,SUNDRY DEBIT 4Aug19  mercedes-benz cars,-3.27,MPO
21789173,RINGGO MOBILE PARKING Cash at Transact,-38.85,CSH
21789174,SUNDRY DEBIT ON 14 Jul  ENTERPRISE CAR RENTAL,-21.36,MPO
21789175,DVLA 2Jul19,-10.19,DEB
21789176,SUNDRY DEBIT ON 22 Jul CARD PAYMENT ASDA PETROL,-29.55,DEB
21789177,VIA MOBILE ford,-7.46,MPO
21789178,Sundry debit: ford,-1.96,DEB
21789179,SUNDRY DEBIT  morrison petrol ON 2019-8-17,-13.63,CSH
21789180,ON 14 Aug RINGGO PARKING    BASINGSTOKE,-32.13,DEB
21789181,"diamond valeting, tyres & service  CONTACTLESS",-11.33,DEB
21789182,23Aug19 admiral insurance,-15.76,MPO
21789183,CARD PAYMENT parking,-17.84,DEB
21789184,ON 2019-8-17 HALFORDS,-42.58,DEB
21789185,DVLA VEHICLE TAX Apple Pay 19Jul19,-10.29,MPO
21789186,sainsburys petrol CARD PAYMENT,-20.81,DEB
21789187,Fin: ON 2019-8-10 CARD PAYMENT tesco pay at pump,-20.8,DEB
21789188,Sundry debit:  ENTERPRISE CAR RENTAL,-26.62,DEB
21789189,Fin: CONTACTLESS freeborn garages,-17.64,DEB
21789190,car rental insurance CARD PAYMENT ON 2019-8-9,-30.36,DEB
21789191,RINGGO MOBILE PARKING  ON 2019-7-9,-34.28,MPO
21789192,Sundry debit: dvla vehicle tax CONTACTLESS,-49.8,DEB
21789193,UK FUELS LTD  ON 2 Jul,-29.05,DEB
21789194,TESCO PAY AT PUMP CONTACTLESS ON 2019-7-18,-32.42,DEB
21789195,admiral insurance,-7.74,DEB
21789196,tesco pay at pump CONTACTLESS,-2.04,DEB
21789197,10Aug19 GEORGE STREET CARPARK CONTACTLESS,-34.82,DEB
21789198,RENT-A-CAR,-29.81,DEB
21789199,SMART PARKING CHELSEA LONDON,-19.43,DEB
21789200,SMART PARKING CHELSEA LONDON CONTACTLESS ON 27 Jul,-15.53,DEB
21789201,ON 2019-8-23 DVLA,-28.28,MPO
21789202,Fin: tyre services  ON 2019-7-8,-22.64,DEB
21789203,fuel service station,-24.38,CSH
21789204,MORRISON PETROL ON 7 Jul CONTACTLESS,-21.29,DEB
21789205,Fin:  CAR RENTAL INSURANCE,-32.68,DEB
21789206,Sundry debit: TESCO PAY AT PUMP  30Aug19,-31.62,DEB
21789207,CARD PAYMENT  uk fuels ltd,-20.82,DEB
21789208,CONTACTLESS PARKING ON 10 Aug,-28.11,DEB
21789209,enterprise car rental 2Jul19 Direct Debit,-19.85,DD
21789210,CONTACTLESS  DIESEL PAYMENT,-3.81,DEB
21789211,PAYPAL PAYMENT,-29.42,DD
21789212,SUNDRY DEBIT  TESCO PAY AT PUMP,-11.64,DEB
21789213,tesco pay at pump  ON 2019-8-13,-33.3,DEB
21789214,SAINSBURYS PETROL  CARD PAYMENT,-40.21,DEB
21789215,directline ins,-37.73,CSH
21789216,Sundry debit:  ON 19 Jul fuel servicesuk,-28.64,DD
21789217,SUNDRY DEBIT  GEORGE STREET CARPARK ON 2019-8-28,-16.5,DEB
21789218,amznmktplace VIA MOBILE ONLINE,-27.56,MPO
21789219,Fin:  CONTACTLESS morrison petrol,-28.32,DEB
21789220,Direct Debit MERCEDES-BENZ CARS,-15.19,DD
21789221,Fin:  TYRE SERVICES CARD PAYMENT,-5.67,DEB
21789222,fuel service station,-19.12,DD
21789223,SUNDRY DEBIT tyre services,-7.04,DD
21789224,SUNDRY DEBIT   fuel servicesuk,-22.46,DEB
21789225,"SUNDRY DEBIT  31Jul19 diamond valeting, tyres & service",-50.02,DD
21789226,SUNDRY DEBIT ON 2 Aug CAR RENTAL INSURANCE CARD PAYMENT,-28.65,DEB
21789227,SUNDRY DEBIT   ENTERPRISE CAR RENTAL,-11.79,MPO
21789228,halfords 3Aug19,-34.06,CSH
21789229,SUNDRY DEBIT  SMART PARKING CHELSEA LONDON 3Jul19,-32.08,DEB
21789230,ENTERPRISE CAR RENTAL,-22.63,DEB
21789231,dvla vehicle tax,-12.93,DEB
21789232,RINGGO MOBILE PARKING,-14.41,CSH
21789233,Fin:  directline ins,-27.49,DEB
21789234,ON 22 Jul PARKING,-27.73,DEB
21789235,diesel payment ON 18 Jul,-15.33,DEB
21789236,AXA INSURANCE CONTACTLESS,-33.55,DEB
21789237,"Sundry debit: CARD PAYMENT DIAMOND VALETING, TYRES & SERVICE",-35.72,DEB
21789238,Sundry debit: SHELL GARAGE,-3.01,MPO
21789239,Fin:  directline ins,-19.4,DEB
21789240,Sundry debit:  CAR RENTAL INSURANCE,-3.25,DEB
21789241,CONTACTLESS 6Jul19 DIESEL PAYMENT,-22.2,DEB
21789242,SUNDRY DEBIT ON 2019-8-30 CAR RENTAL INSURANCE,-19.78,DEB
21789243,RINGGO PARKING    BASINGSTOKE 21Aug19,-16.74,DEB
21789244,tesco pay at pump  ON 31 Aug,-21.8,MPO
21789245,ON 16 Aug enterprise car rental,-12.03,CSH
21789246,Fin: ON 2019-8-16  camden parking,-35.33,MPO
21789247,tyre services,-33.15,CSH
21789248,"diamond valeting, tyres & service  CARD PAYMENT",-10.81,DEB
21789249,CONTACTLESS 30Jul19 enterprise car rental,-29.09,DEB
